﻿"Page Name","First ContentFul Name","Speed Index","Interactive ","Estimated Latency","Cpu Idle"
https://jobcull.com,3.1 s,4.3 s,3.3 s,40 ms,3.1 s
https://jsoneditoronline.org,0.6 s,1.1 s,1.6 s,20 ms,1.7 s
